,zmage,izenačenja,porazi
0,555,183,262
1,801,91,108
2,718,134,148
3,928,37,35
4,911,43,46
5,960,28,12
6,841,49,110
7,826,32,142
8,983,8,9
9,832,41,127
10,977,5,18
11,816,64,120
12,893,50,57
13,931,52,17
14,950,20,30
15,943,27,30
16,945,19,36
17,946,18,36
18,983,0,17
19,890,78,32
20,952,23,25
21,972,18,10
22,974,14,12
23,977,9,14
24,982,14,4
25,975,22,3
26,968,25,7
27,981,11,8
28,974,19,7
29,984,16,0
30,966,29,5
31,934,59,7
32,980,18,2
33,977,19,4
34,955,40,5
35,977,23,0
36,976,24,0
37,985,15,0
38,985,15,0
39,989,11,0
40,988,9,3
41,985,15,0
42,992,8,0
43,983,17,0
44,981,19,0
45,975,25,0
46,988,12,0
47,982,18,0
48,983,14,3
49,983,17,0
50,985,15,0
51,985,15,0
52,981,19,0
53,986,14,0
54,991,9,0
55,990,10,0
56,980,20,0
57,991,9,0
58,989,11,0
59,988,12,0
60,992,8,0
61,976,21,3
62,983,17,0
63,979,21,0
64,984,16,0
65,983,11,6
66,989,11,0
67,993,7,0
68,984,16,0
69,992,8,0
70,986,9,5
