,zmage,izenačenja,porazi
0,686,5,309
1,788,0,212
2,753,0,247
3,944,0,56
4,872,0,128
5,795,1,204
6,907,0,93
7,817,0,183
8,941,0,59
9,819,0,181
10,879,1,120
11,933,1,66
12,915,1,84
13,871,1,128
14,912,1,87
15,838,0,162
16,934,0,66
17,910,0,90
18,953,0,47
19,884,0,116
20,851,4,145
21,881,1,118
22,925,0,75
23,926,0,74
24,923,1,76
25,910,0,90
26,943,1,56
27,944,0,56
28,917,1,82
29,970,0,30
30,902,1,97
31,927,0,73
32,956,1,43
33,912,0,88
34,793,0,207
35,932,0,68
36,932,0,68
37,951,0,49
38,577,0,423
39,920,0,80
40,875,0,125
41,819,0,181
42,869,0,131
43,956,0,44
44,905,0,95
45,975,0,25
46,965,0,35
47,858,0,142
48,881,0,119
49,599,0,401
50,894,0,106
51,869,0,131
52,792,0,208
53,927,0,73
54,877,0,123
55,888,1,111
56,908,0,92
57,816,0,184
58,818,0,182
59,730,0,270
60,873,0,127
61,898,0,102
62,913,0,87
63,853,0,147
64,857,0,143
65,929,0,71
66,718,3,279
67,966,0,34
68,871,0,129
69,856,0,144
70,848,0,152
71,854,0,146
72,828,0,172
73,853,0,147
74,837,0,163
75,825,0,175
76,849,0,151
77,837,0,163
78,822,0,178
79,837,0,163
80,838,0,162
81,813,0,187
82,839,0,161
83,858,0,142
84,824,0,176
85,845,0,155
86,837,0,163
87,833,0,167
88,851,0,149
89,824,0,176
90,832,0,168
91,825,0,175
92,854,0,146
93,837,0,163
94,824,0,176
95,847,0,153
96,842,0,158
97,836,0,164
98,825,0,175
99,839,0,161
100,838,0,162
