,zmage,izenačenja,porazi
0,892,5,103
1,925,6,69
2,927,5,68
3,921,7,72
4,899,5,96
5,924,7,69
6,902,7,91
7,926,6,68
8,911,5,84
9,911,5,84
10,921,7,72
11,919,7,74
12,924,6,70
13,921,3,76
14,907,2,91
15,922,6,72
16,928,6,66
17,919,4,77
18,923,3,74
19,912,5,83
20,935,5,60
21,889,6,105
22,903,5,92
23,890,4,106
24,892,12,96
25,891,7,102
26,906,9,85
27,897,14,89
28,926,4,70
29,901,4,95
30,932,8,60
31,894,7,99
32,933,6,61
33,884,6,110
34,897,7,96
35,920,4,76
36,877,7,116
37,895,3,102
38,909,7,84
39,900,9,91
40,903,6,91
41,893,7,100
42,903,9,88
43,910,7,83
44,895,4,101
45,880,7,113
46,893,7,100
47,890,8,102
48,898,8,94
49,900,5,95
50,896,13,91
51,910,9,81
52,896,6,98
53,926,2,72
54,917,7,76
55,922,6,72
56,927,6,67
57,929,7,64
58,935,4,61
59,923,5,72
60,922,4,74
