,zmage,izenačenja,porazi
0,808,5,187
1,803,2,195
2,786,9,205
3,769,5,226
4,772,11,217
5,771,7,222
6,771,10,219
7,754,10,236
8,792,6,202
9,803,5,192
10,789,9,202
11,799,2,199
12,773,3,224
13,786,5,209
14,795,7,198
15,783,9,208
16,784,7,209
17,784,6,210
18,792,8,200
19,771,9,220
20,797,3,200
21,778,4,218
22,801,6,193
23,791,5,204
24,799,6,195
25,786,7,207
26,798,4,198
27,776,6,218
28,775,10,215
29,786,4,210
30,817,4,179
31,795,6,199
32,784,9,207
33,795,7,198
34,777,4,219
35,771,8,221
36,798,8,194
37,783,11,206
38,747,11,242
39,808,4,188
40,799,9,192
41,804,5,191
42,796,5,199
43,780,15,205
44,831,6,163
45,794,7,199
46,795,7,198
47,824,5,171
48,803,8,189
49,798,6,196
50,803,9,188
51,797,4,199
52,786,6,208
53,784,6,210
54,773,11,216
55,811,5,184
56,793,3,204
57,770,8,222
58,793,10,197
59,798,5,197
60,796,7,197
61,788,8,204
62,777,8,215
63,814,8,178
64,780,3,217
65,803,2,195
66,802,5,193
67,768,8,224
68,760,6,234
69,764,9,227
70,776,3,221
71,769,7,224
72,798,7,195
73,792,10,198
74,794,10,196
75,809,8,183
76,817,10,173
77,832,7,161
78,814,8,178
79,808,8,184
80,831,8,161
81,826,9,165
82,796,10,194
83,825,7,168
84,757,6,237
85,792,9,199
86,801,6,193
87,805,8,187
88,794,9,197
89,797,8,195
90,801,10,189
91,804,3,193
92,783,6,211
93,801,5,194
94,832,5,163
95,804,10,186
96,798,11,191
97,822,8,170
98,806,9,185
99,800,4,196
100,811,8,181
101,824,3,173
102,819,3,178
103,818,4,178
104,827,7,166
105,804,3,193
106,796,9,195
107,785,6,209
108,791,9,200
109,791,6,203
110,771,10,219
111,789,6,205
112,804,2,194
113,793,6,201
114,784,7,209
115,803,9,188
116,809,7,184
117,800,3,197
118,807,3,190
119,803,10,187
120,778,11,211
121,765,9,226
122,819,4,177
123,786,5,209
124,773,6,221
125,816,7,177
126,808,7,185
127,781,6,213
128,791,12,197
129,809,10,181
130,804,6,190
131,784,9,207
132,797,13,190
133,798,7,195
134,778,4,218
135,793,4,203
136,789,6,205
137,801,4,195
138,795,4,201
139,798,6,196
140,784,8,208
141,790,13,197
142,830,10,160
143,804,7,189
144,811,6,183
145,815,2,183
146,782,12,206
147,792,10,198
148,802,5,193
149,799,4,197
150,779,12,209
151,811,8,181
152,786,11,203
153,801,5,194
154,825,5,170
155,810,7,183
156,796,6,198
157,836,2,162
158,825,4,171
159,814,3,183
160,813,9,178
161,805,11,184
162,790,7,203
163,790,4,206
164,809,5,186
165,807,2,191
166,793,11,196
167,778,10,212
168,795,5,200
169,785,12,203
170,807,5,188
171,787,8,205
172,795,3,202
173,821,6,173
174,797,7,196
175,803,10,187
176,810,9,181
177,799,6,195
178,797,5,198
179,784,10,206
180,809,8,183
181,811,6,183
182,781,6,213
183,793,7,200
184,787,11,202
185,793,5,202
186,796,8,196
187,817,9,174
188,787,9,204
189,812,9,179
190,803,5,192
191,774,10,216
192,793,5,202
193,785,7,208
194,807,8,185
195,769,10,221
196,796,8,196
197,798,3,199
198,832,6,162
199,805,4,191
200,806,7,187
201,811,12,177
202,795,8,197
203,805,9,186
204,814,8,178
205,825,4,171
206,788,10,202
207,795,4,201
208,792,4,204
209,794,6,200
210,802,12,186
211,803,10,187
212,812,7,181
213,785,9,206
214,802,9,189
215,777,8,215
216,823,6,171
217,796,10,194
218,797,7,196
219,799,9,192
220,801,5,194
221,809,9,182
222,785,4,211
223,813,17,170
224,828,6,166
225,792,9,199
226,816,13,171
227,808,11,181
228,814,5,181
229,800,5,195
230,809,5,186
231,796,7,197
232,779,11,210
233,780,7,213
234,832,6,162
235,800,7,193
236,800,2,198
237,801,10,189
238,819,6,175
239,818,6,176
240,789,12,199
241,791,7,202
242,786,10,204
243,784,7,209
244,785,7,208
245,807,10,183
246,784,8,208
247,798,6,196
248,811,8,181
249,774,8,218
250,791,8,201
251,797,12,191
252,804,10,186
253,826,5,169
254,819,5,176
255,798,7,195
256,801,8,191
257,813,5,182
258,790,8,202
259,831,4,165
260,775,5,220
261,803,11,186
262,801,9,190
263,803,6,191
264,825,5,170
265,793,8,199
266,812,4,184
267,813,4,183
268,801,9,190
269,800,14,186
270,817,6,177
271,833,6,161
272,795,7,198
273,809,5,186
274,831,4,165
275,819,10,171
276,789,10,201
277,760,5,235
278,803,4,193
279,798,5,197
280,815,2,183
281,805,11,184
282,802,8,190
283,818,9,173
284,794,11,195
285,809,6,185
286,792,4,204
287,778,8,214
288,812,6,182
289,773,6,221
290,804,8,188
291,805,8,187
292,803,4,193
293,793,7,200
294,789,8,203
295,779,13,208
296,773,9,218
297,788,9,203
298,783,8,209
299,820,6,174
300,785,13,202
