,zmage,izenačenja,porazi
0,376,69,555
1,901,19,80
2,915,13,72
3,959,9,32
4,948,14,38
5,967,7,26
6,791,37,172
7,888,16,96
8,561,22,417
9,662,27,311
10,907,9,84
11,940,10,50
12,910,10,80
13,958,5,37
14,947,11,42
15,929,9,62
16,932,8,60
17,981,2,17
18,969,4,27
19,963,2,35
20,949,3,48
21,959,5,36
22,978,1,21
23,978,2,20
24,962,1,37
25,979,2,19
26,973,3,24
27,985,1,14
28,975,1,24
29,966,3,31
30,971,2,27
31,974,2,24
32,986,1,13
33,965,2,33
34,919,3,78
35,953,2,45
36,987,2,11
37,993,0,7
38,987,1,12
39,981,0,19
40,988,1,11
41,994,1,5
42,969,1,30
43,975,1,24
44,989,1,10
45,986,0,14
46,930,0,70
47,969,2,29
48,991,0,9
49,995,1,4
50,992,0,8
51,970,0,30
52,995,0,5
53,993,0,7
54,976,3,21
55,989,0,11
56,995,0,5
57,960,0,40
58,991,0,9
59,995,0,5
60,993,0,7
61,951,8,41
62,991,2,7
63,991,1,8
64,987,3,10
65,980,2,18
66,993,1,6
67,962,3,35
68,966,2,32
69,969,7,24
70,995,0,5
71,984,1,15
72,993,0,7
73,995,0,5
74,993,0,7
75,996,0,4
76,977,5,18
77,996,1,3
78,966,3,31
79,1000,0,0
80,993,0,7
