,zmage,izenačenja,porazi
0,371,5,624
1,583,2,415
2,726,0,274
3,672,1,327
4,701,5,294
5,705,0,295
6,764,3,233
7,720,3,277
8,808,0,192
9,776,2,222
10,550,0,450
11,579,0,421
12,741,1,258
13,542,0,458
14,653,0,347
15,635,0,365
16,794,1,205
17,702,4,294
18,706,8,286
19,832,1,167
20,825,3,172
21,880,0,120
22,692,1,307
23,796,3,201
24,807,2,191
25,801,2,197
26,858,3,139
27,872,0,128
28,883,1,116
29,890,2,108
30,851,0,149
31,916,1,83
32,932,0,68
33,878,0,122
34,898,2,100
35,867,2,131
36,906,1,93
37,880,0,120
38,863,4,133
39,870,3,127
40,890,0,110
41,913,1,86
42,854,0,146
43,849,0,151
44,869,0,131
45,873,0,127
46,843,2,155
47,875,0,125
48,874,1,125
49,850,0,150
50,851,1,148
51,825,4,171
52,761,2,237
53,813,4,183
54,656,1,343
55,825,2,173
56,815,1,184
57,876,1,123
58,822,1,177
59,832,1,167
60,808,1,191
61,889,2,109
62,840,6,154
63,929,0,71
64,802,2,196
65,888,3,109
66,871,0,129
67,905,1,94
68,840,1,159
69,904,2,94
70,901,0,99
71,932,0,68
72,874,4,122
73,635,0,365
74,745,0,255
75,876,1,123
76,887,8,105
77,830,3,167
78,906,2,92
79,872,0,128
80,844,3,153
81,923,1,76
82,913,3,84
83,873,2,125
84,903,2,95
85,873,2,125
86,908,9,83
87,922,19,59
88,916,5,79
89,925,14,61
90,933,16,51
91,910,7,83
92,908,10,82
93,913,18,69
94,915,11,74
95,892,1,107
96,880,7,113
97,925,3,72
98,875,2,123
99,945,2,53
100,945,0,55
101,914,0,86
102,940,0,60
103,941,2,57
104,900,3,97
105,909,6,85
106,939,0,61
107,932,1,67
108,918,5,77
109,890,2,108
110,931,3,66
111,915,0,85
112,951,0,49
113,915,5,80
114,878,0,122
115,953,5,42
116,916,4,80
117,933,8,59
118,915,2,83
119,899,0,101
120,910,2,88
121,946,4,50
122,811,3,186
123,874,5,121
124,944,9,47
125,919,2,79
126,947,1,52
127,908,1,91
128,895,3,102
129,891,2,107
130,892,0,108
131,901,0,99
132,887,1,112
133,880,0,120
134,896,2,102
135,903,0,97
136,894,1,105
137,921,1,78
138,898,0,102
139,897,1,102
140,864,1,135
141,918,0,82
142,898,0,102
143,913,1,86
144,893,1,106
145,885,2,113
146,882,0,118
147,882,0,118
148,857,1,142
149,911,1,88
150,902,1,97
151,884,2,114
152,883,1,116
153,889,0,111
154,874,3,123
155,905,1,94
156,885,1,114
157,862,0,138
158,830,3,167
159,813,0,187
160,823,2,175
161,844,0,156
162,826,1,173
163,846,2,152
164,851,0,149
165,833,4,163
166,822,0,178
167,862,1,137
168,805,1,194
169,863,0,137
170,846,1,153
171,814,0,186
172,655,0,345
173,759,2,239
174,779,0,221
175,821,0,179
176,825,1,174
177,819,1,180
178,823,2,175
179,605,1,394
180,710,0,290
181,687,0,313
182,822,1,177
183,787,0,213
184,747,0,253
185,851,0,149
186,794,0,206
187,837,1,162
188,741,0,259
189,708,0,292
190,628,3,369
191,735,2,263
192,735,2,263
193,806,3,191
194,662,2,336
195,789,3,208
196,715,1,284
197,686,1,313
198,744,0,256
199,758,0,242
200,794,0,206
201,827,1,172
202,696,0,304
203,707,1,292
204,635,1,364
205,674,1,325
206,709,2,289
207,728,3,269
208,720,1,279
209,672,1,327
210,747,4,249
211,591,1,408
212,715,0,285
213,651,1,348
214,773,3,224
215,712,2,286
216,590,2,408
217,591,0,409
218,486,2,512
219,565,1,434
220,588,3,409
221,527,0,473
222,681,1,318
223,565,2,433
224,572,2,426
225,483,0,517
226,392,0,608
227,453,0,547
228,559,2,439
229,484,1,515
230,595,0,405
231,572,3,425
232,651,1,348
233,587,1,412
234,550,0,450
235,486,0,514
236,497,0,503
237,553,0,447
238,486,3,511
239,728,2,270
240,677,0,323
241,656,4,340
242,618,1,381
243,508,1,491
244,566,0,434
245,541,1,458
246,668,0,332
247,555,3,442
248,574,0,426
249,614,1,385
250,675,1,324
251,665,1,334
252,733,0,267
253,706,1,293
254,728,2,270
255,631,0,369
256,676,0,324
257,642,1,357
258,722,1,277
259,689,0,311
260,665,1,334
261,448,0,552
262,616,2,382
263,639,2,359
264,681,1,318
265,567,0,433
266,653,0,347
267,701,3,296
268,705,3,292
269,591,0,409
270,729,1,270
271,752,2,246
272,765,1,234
273,755,0,245
274,695,1,304
275,661,3,336
276,700,2,298
277,615,0,385
278,513,3,484
